date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:03:14	28974/28974	---MCZ	200	added ('OK')	text/html	etag:W/%225e383c8b-712e%22	http://megaone.themesindustry.com/index-personal.html	C:/My%20Web%20Sites/protfolio/megaone.themesindustry.com/index-personal.html	(from )
17:03:14	65/65	---M--	200	added ('OK')	text/plain	etag:%225e344a78-41%22	http://megaone.themesindustry.com/robots.txt		(from )
17:03:16	15406/15406	---M--	200	added ('OK')	image/x-icon	etag:%225e384019-3c2e%22	http://megaone.themesindustry.com/personal/img/favicon.ico	C:/My%20Web%20Sites/protfolio/megaone.themesindustry.com/personal/img/favicon.ico	(from http://megaone.themesindustry.com/index-personal.html)
17:03:18	269580/269580	---MCZ	200	added ('OK')	text/css	etag:W/%225e38402f-41d0c%22	http://megaone.themesindustry.com/vendor/css/bundle.min.css	C:/My%20Web%20Sites/protfolio/megaone.themesindustry.com/vendor/css/bundle.min.css	(from http://megaone.themesindustry.com/index-personal.html)
17:03:18	22163/22163	---MCZ	200	added ('OK')	text/css	etag:W/%225e38402f-5693%22	http://megaone.themesindustry.com/vendor/css/LineIcons.min.css	C:/My%20Web%20Sites/protfolio/megaone.themesindustry.com/vendor/css/LineIcons.min.css	(from http://megaone.themesindustry.com/index-personal.html)
17:03:18	30063/30063	---MCZ	200	added ('OK')	text/css	etag:W/%225e38402f-756f%22	http://megaone.themesindustry.com/vendor/css/revolution-settings.min.css	C:/My%20Web%20Sites/protfolio/megaone.themesindustry.com/vendor/css/revolution-settings.min.css	(from http://megaone.themesindustry.com/index-personal.html)
17:03:19	12198/12198	---MCZ	200	added ('OK')	text/css	etag:W/%225e38402f-2fa6%22	http://megaone.themesindustry.com/vendor/css/jquery.fancybox.min.css	C:/My%20Web%20Sites/protfolio/megaone.themesindustry.com/vendor/css/jquery.fancybox.min.css	(from http://megaone.themesindustry.com/index-personal.html)
17:03:19	3356/3356	---MCZ	200	added ('OK')	text/css	etag:W/%225e38402f-d1c%22	http://megaone.themesindustry.com/vendor/css/owl.carousel.min.css	C:/My%20Web%20Sites/protfolio/megaone.themesindustry.com/vendor/css/owl.carousel.min.css	(from http://megaone.themesindustry.com/index-personal.html)
17:03:19	13592/13592	---MCZ	200	added ('OK')	text/css	etag:W/%225e38402f-3518%22	http://megaone.themesindustry.com/vendor/css/swiper.min.css	C:/My%20Web%20Sites/protfolio/megaone.themesindustry.com/vendor/css/swiper.min.css	(from http://megaone.themesindustry.com/index-personal.html)
17:03:20	83756/83756	---MCZ	200	added ('OK')	text/css	etag:W/%225e38402f-1472c%22	http://megaone.themesindustry.com/vendor/css/cubeportfolio.min.css	C:/My%20Web%20Sites/protfolio/megaone.themesindustry.com/vendor/css/cubeportfolio.min.css	(from http://megaone.themesindustry.com/index-personal.html)
17:03:20	45205/45205	---MCZ	200	added ('OK')	text/css	etag:W/%225e384019-b095%22	http://megaone.themesindustry.com/personal/css/page-animation.css	C:/My%20Web%20Sites/protfolio/megaone.themesindustry.com/personal/css/page-animation.css	(from http://megaone.themesindustry.com/index-personal.html)
17:03:20	28633/28633	---MCZ	200	added ('OK')	text/css	etag:W/%225e7b7592-6fd9%22	http://megaone.themesindustry.com/personal/css/style.css	C:/My%20Web%20Sites/protfolio/megaone.themesindustry.com/personal/css/style.css	(from http://megaone.themesindustry.com/index-personal.html)
17:03:22	1491/1491	---M--	200	added ('OK')	image/png	etag:%225e384019-5d3%22	http://megaone.themesindustry.com/personal/img/logo.png	C:/My%20Web%20Sites/protfolio/megaone.themesindustry.com/personal/img/logo.png	(from http://megaone.themesindustry.com/index-personal.html)
